
Wildan,bintang 5,enaaaaaaaakkkkkkkk
Eki,bintang 5,Awor Awor Mantap 👍👍
Atidjah,bintang 1,Barang belum diterima sama sekali
D***i,bintang 5,"super enak, repeat order sih klo sambel yg ini pengirimannya jg cepet bahannya berkuakitas fqvorit keluargaku pedesnya nikmat"
Vitria,bintang 5,"Enak kok, dengan harga segitu buat saya worth it 👍👍👍"
S***a,bintang 5,👍
Rizka,bintang 5,"sambel cumi tetep yg paling favorit. paling wajib stock dirumah.. makan pake apa aja cocok. pake telur, pake nuget, atau cuma nasi sama sambel aja udah enak banget 😍"
I***i,bintang 5,"rasa enak, PO cpt, packing ok"
F***i,bintang 5,"nagihhhhhh pedes nya,the best lah eat sambel 😍"
Eko,bintang 5,pengirimannya cepat
N***a,bintang 5,This was my first purchase from this store. I hope this will taste good.
Awi,bintang 5,"konsisten banget rasanya, the best"
Moechamad,bintang 5,enak banget..jdi nambah order mulu..
R***i,bintang 1,"rasa pedasnya tidak seperti dulu, tidak sepedas dulu, dan seperti ada yang kurang gitu rasanya, tidak seenak dulu, maaf ya."
I***n,bintang 5,super enakk
amah,bintang 5,enak bgt sumpah bikin napsu makan
J***e,bintang 4,"Pedas pol
Cuma kurang asin aja
Jadinya dominan pedas Kalau cuminya b aja sih"
D***i,bintang 5,pdes bgt gilssss. cuminya agak keras ya. jujur pas angetin / oseng saya modif2 lg biar lebi nampol
A***g,bintang 5,paket cepat nyampenya padahal pakai reguler.Blm di coba smg rasanya enak dan pesan lg
Dwi,bintang 5,"enak.."
Despe,bintang 5,Mantab
N***a,bintang 5,"Rasanya enak, cumi nya banyak"
Tan,bintang 5,"enak sesuai iklan, cuma kurang pedas aja."
R***a,bintang 5,"enak bangeet rasanya, packagingnya juga lucuu"
Argan,bintang 5,"packing aman dan bagus, exp aman juga kalau enak nanti saya beli lagi"
Yuda,bintang 5,enakkk.. pake bangeeet !!!
dimas,bintang 5,"fresh, enak, pedasnya terasa dan bikin nagih"
Irma,bintang 5,"Respon penjual sangat baik, pengiriman sangat cepat, terima kasih🙏"
Harris,bintang 5,lengkap aman top👌🏼
Robik,bintang 5,"Dan akhirnya tiba, sangat cepet. terimakasih"
A***y,bintang 5,Pesanan diterima dgn baik
Fadhil,bintang 5,"pengiriman cepat, tidak ada yg rusak atau bocor. terima kasih ya"
Darnata,bintang 1,No review text
Chandrawira,bintang 5,"bagi saya ini lumayan pedas, tp entah kenapa tiap di makan jd makin nagih.... saran saya kalo bisa dikasih level pedas jd biar yg gak terlalu suka pedas bgt bisa enak mak..."
R,bintang 5,Rasa mantap. Pengiriman cepat.
N***r,bintang 5,No review text
Iim,bintang 5,paketnya sudah sampai dirumah dengan Selamat tanpa ada yg rusak atau cacat barang sesuai gambar Dan pesanan paking rapi pengiriman cepat
D***n,bintang 4,rasa nya jujur agak menurun dari pembelian sbelumnya
Faisal,bintang 5,Enak sambal fresh
Vanessa,bintang 5,"sambalnya enak.. cumi nya pun enak untuk dikunyah dan tidak alot 
enak👍 nasi dengan sambal ini pun juga sudah enak, cocok di lidah."
H***i,bintang 5,Enak
oni,bintang 5,enakkkk parah gilaa
Agnes,bintang 5,"Beli karena liat review dari codebluuuu, yang katanya ara-ara..."
Hendri,bintang 5,mantap
U***g,bintang 5,"Beli karena codeblue . Semoga ara ara nih... packaging luar. Biasa , kiriman seharj mungkin karena sama2 jak bar. Tanggal produksi hari ini. Mantab . Ara ara"
Dewi,bintang 5,"kemasan rapi, isinya lumayan lah, rasa belum dicoba nihh"
Hesti,bintang 5,"mantap polll, ibu negara jd puasss banget!"
L***i,bintang 5,Ara araaaaa!
G***y,bintang 5,"pelayanannya mantap, untuk sambel agak kurang nampol dari yang sebelumnya"
W***i,bintang 5,Enak bgt....👍👍👍
luthfan,bintang 4,"rasanya lumayan enak, tapi minyak nya agak terlalu banyak"
Najmal,bintang 5,"sambal enak..
masukan aja : kurang gurih sedikit..
kalo makan pakai sayur lauk lain, jadi kalah rasa sambal nya.."
manda,bintang 5,"enak banget, pedesnya menggelegar. beli di sini atas rekomen codebluu. sesuai review-nya, mantap"
Yosie,bintang 5,Akhirnya coba jg Sambel codebluuuu pasti ara araaaa
i***r,bintang 5,Awor awor mantap
Z***a,bintang 5,"Pengiriman nya cepet, packing rapii 
Rekomendasi dari codeblue nihhhhhh ara-araaaaa"
I***u,bintang 5,GILEE LGSG NYAMPEEE+packing aman
Rantho,bintang 5,"aku ga makan, tapi dari anak... mrk bilang enak... 
thanks yaa"
a***a,bintang 5,"kemasan super rapi keren bagus bgt
dari luar udah keliatan enaknya"
F***n,bintang 5,pedas enak..
Renno,bintang 5,favorit sambel
P***a,bintang 5,No review text
W***l,bintang 5,Enak
P***a,bintang 5,"packing rapi, enak, kesukaan si bontot"
